Bolge,Strat,Ratio,N_train,N_feat,AUC,F1,Rec,Prec,Brier,Score
BLK,S6_Full,1:2,1860,34,0.6398791582177893,0.1657848324514991,0.16549295774647887,0.16607773851590105,0.14100289135423547,0.4502414279112732
BLK,S6_Full,1:3,2480,34,0.6689569974973055,0.19047619047619047,0.19718309859154928,0.18421052631578946,0.11380086458976107,0.4775646746888595
BLK,S6_Full,1:4,3100,34,0.6755524500222259,0.18007662835249041,0.16549295774647887,0.19747899159663865,0.10544280852580543,0.4773621213543317
BLK,S6_Full,1:6,4340,34,0.6894679795156586,0.19783616692426584,0.22535211267605634,0.1763085399449036,0.09711215358977342,0.49281525447910146
GLOBAL,S1_Tip1,1:1,24050,34,0.7288078853824149,0.2920651672053295,0.7353038857522418,0.18222222222222223,0.5592141159119858,0.5541107981115807
GLOBAL,S1_Tip1,1:2,33746,34,0.7254965308689675,0.2894265826980444,0.7250083028894055,0.1808017227099553,0.5186809849228634,0.5510685516005982
GLOBAL,S1_Tip1,1:3,33746,34,0.7254965308689675,0.2894265826980444,0.7250083028894055,0.1808017227099553,0.5186809849228634,0.5510685516005982
GLOBAL,S1_Tip1,1:4,33746,34,0.7254965308689675,0.2894265826980444,0.7250083028894055,0.1808017227099553,0.5186809849228634,0.5510685516005982
GLOBAL,S1_Tip1,1:6,33746,34,0.7254965308689675,0.2894265826980444,0.7250083028894055,0.1808017227099553,0.5186809849228634,0.5510685516005982
GLOBAL,S2_Mixed,1:1,24050,34,0.7374498154443203,0.2925146602276647,0.7040850215875124,0.18460466736328807,0.30267757432160247,0.5594757533576581
GLOBAL,S2_Mixed,1:2,36075,34,0.7461808019062014,0.32115745288916675,0.5971438060445035,0.21964329342780356,0.20062391736880258,0.5761714622993875
GLOBAL,S2_Mixed,1:3,48100,34,0.7477761713455356,0.31869446343130553,0.6193955496512786,0.21454043483262394,0.1855067947526031,0.5761434881798436
GLOBAL,S2_Mixed,1:4,54296,34,0.7477643194344376,0.3172282263191354,0.6629026901361674,0.2085030815836206,0.1673797871593367,0.5755498821883167
GLOBAL,S2_Mixed,1:6,54296,34,0.7463673204562571,0.31198962069755015,0.6788442377947526,0.2025366627031312,0.16895995536551953,0.5726162405527744
GLOBAL,S3_Stratified,1:1,24050,34,0.7288677345852236,0.3063902624572081,0.5350381932912653,0.21465689540306462,0.2870611417704943,0.5598767457340174
GLOBAL,S3_Stratified,1:2,36075,34,0.731104627203607,0.3095764272559853,0.5582862836267021,0.2141674098611288,0.18010479519673867,0.5624933472245583
GLOBAL,S3_Stratified,1:3,48100,34,0.7296645446613685,0.2991202346041056,0.6436399867153769,0.19483261284809492,0.1421216602529966,0.5574468206384634
GLOBAL,S3_Stratified,1:4,60125,34,0.7301592194516107,0.31550337029789083,0.4818997010959814,0.23452400193955067,0.12573459026146191,0.5642968797901227
GLOBAL,S3_Stratified,1:6,70827,34,0.7339061005776369,0.30617451947610136,0.5978080371969445,0.2057848405167486,0.11465758195825082,0.5628134681370227
GLOBAL,S4_HighFWI,1:1,24050,34,0.6454448381919967,0.21228785997279878,0.5961474593158419,0.129136690647482,0.2822832506450133,0.47218204690431753
GLOBAL,S4_HighFWI,1:2,36075,34,0.6399555099305388,0.1973783335844508,0.2175357024244437,0.18063982349696636,0.28450353933762557,0.4629246393921036
GLOBAL,S4_HighFWI,1:3,48100,34,0.6392270399785861,0.21428571428571427,0.2789770840252408,0.17394905777593705,0.26102862240373775,0.46925050970143733
GLOBAL,S4_HighFWI,1:4,57796,34,0.6434905176718219,0.19493628992222406,0.19561607439388906,0.19426121372031663,0.23492653049488163,0.4640688265719828
GLOBAL,S4_HighFWI,1:6,57889,34,0.6390906480022238,0.21269273127753305,0.5131185652607108,0.13414951810367284,0.23685477299938035,0.46853148131234745
GLOBAL,S5_HumanContrast,1:1,24050,34,0.6914358680052726,0.199796126401631,0.2603786117568914,0.16208393632416787,0.268935114312143,0.4947799713638159
GLOBAL,S5_HumanContrast,1:2,36075,34,0.6902722252291325,0.21434011533021435,0.3271338425772169,0.1593851132686084,0.19151991449658617,0.4998993812695652
GLOBAL,S5_HumanContrast,1:3,48100,34,0.6877283425619254,0.22812079246008848,0.39388907339754237,0.16055232164613512,0.17444333875766288,0.5038853225211906
GLOBAL,S5_HumanContrast,1:4,60125,34,0.6975314323295971,0.24577861163227016,0.4350714048488874,0.1712642175447771,0.1514390306731849,0.5168303040506663
GLOBAL,S5_HumanContrast,1:6,81846,34,0.688746833823208,0.24353231556815066,0.44237794752573895,0.16801210898082744,0.13709029150936372,0.5106610265211851
GLOBAL,S6_Full,1:1,24050,34,0.7500480038433474,0.26811594202898553,0.2334772500830289,0.3148231079265562,0.23366456441580094,0.5572751791176026
GLOBAL,S6_Full,1:2,36075,34,0.7504984419814426,0.31616862326574174,0.39355695782132183,0.26421404682274247,0.15694898697491355,0.5767665144951623
GLOBAL,S6_Full,1:3,48100,34,0.7540964895726899,0.3104289198106441,0.35934905347060775,0.2732323232323232,0.12484730683703898,0.5766294616678715
GLOBAL,S6_Full,1:4,60125,34,0.75444790627113,0.3042713567839196,0.40219196280305547,0.2446958981612447,0.10740049559302217,0.5743772864762458
GLOBAL,S6_Full,1:6,83003,34,0.7455736158559885,0.2704346270792345,0.2510793756227167,0.2930232558139535,0.09800062493841386,0.5555180203452869
